CATEGORY,ASIN,NAME,ORIGINAL_PRICE,URL,SALE_PRICE,AVAILABILITY,RANK
Home & Kitchen > Bath > Bath Rugs,B01LXDD7MA,"Chardin home Classic Bath Rug Set, Burgundy",$16.99,http://www.amazon.com/dp/B01LXDD7MA,$16.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01LZNCSQ1,Chardin home Classic Bath Rug Set,$16.99,http://www.amazon.com/dp/B01LZNCSQ1,$16.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01M19W74V,"Chardin home Classic Bath Rug Set, Blue",$16.99,http://www.amazon.com/dp/B01M19W74V,$16.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01LWPX1O1,"Chardin home Classic Bath Rug Set, Platinum Gray",$16.99,http://www.amazon.com/dp/B01LWPX1O1,$16.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01M19FQAG,Chardin home Classic Bath Rug Set,$16.99,http://www.amazon.com/dp/B01M19FQAG,$16.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01LYZWB03,"Chardin home Classic Bath Rug Set, Linen",$16.99,http://www.amazon.com/dp/B01LYZWB03,$16.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01M0AT0YK,"Chardin home Classic Bath Rug Set, White",$16.99,http://www.amazon.com/dp/B01M0AT0YK,$16.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01M0ASTYB,"Chardin home Classic Bath Rug Set, Chocolate",$16.99,http://www.amazon.com/dp/B01M0ASTYB,$16.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01M0CXGC1,"Chardin Home - 100% Pure Cotton - Splendor reversible Bath Rug, 21''x34'' highly absorbent & heavy duty bathroom mat,Ivory",$16.99,http://www.amazon.com/dp/B01M0CXGC1,$16.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Home Décor,B01M0OLVQ1,"Chardin Home - 100% Pure Cotton - Splendor reversible Bath Rug, 21''x34'' highly absorbent & heavy duty bathroom mat, White",$16.99,http://www.amazon.com/dp/B01M0OLVQ1,$16.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01LZ22NO9,"Chardin Home - 100% Pure Cotton - Splendor reversible Bath Rug, 21''x34'' highly absorbent & heavy duty bathroom mat, Marine Blue",$16.99,http://www.amazon.com/dp/B01LZ22NO9,$16.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01M1C3TSW,"Chardin Home - 100% Pure Cotton - Splendor reversible Bath Rug, 21''x34'' highly absorbent & heavy duty bathroom mat, Platinum Gray",$16.99,http://www.amazon.com/dp/B01M1C3TSW,$16.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01M0CY0RY,"Chardin Home - 100% Pure Cotton - Splendor reversible Bath Rug, 21''x34'' highly absorbent & heavy duty bathroom mat, Sage Green",$16.99,http://www.amazon.com/dp/B01M0CY0RY,$16.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01LWQK283,"Chardin home Splendor Reversible Bath Rug, Highly Absorbent and Heavy Duty Bathroom Mat, 24''W x 60''L, Ivory",$29.99,http://www.amazon.com/dp/B01LWQK283,$29.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01M0BFZQY,"Chardin home 100% Pure Cotton Splendor Reversible Bath Rug Highly Absorbent and Heavy Duty Bathroom Mat, 24'' W x 60'' L, White",$29.99,http://www.amazon.com/dp/B01M0BFZQY,$29.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01LZNZBEU,"Chardin home Splendor Reversible Bath Rug, Highly Absorbent and Heavy Duty Bathroom Mat, 24''W x 60''L, Marine Blue",$29.99,http://www.amazon.com/dp/B01LZNZBEU,$29.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01M0YQUCE,"Chardin home 100% Pure Cotton Splendor Reversible Bath Rug Highly Absorbent and Heavy Duty Bathroom Mat, 24'' W x 60'' L, Platinum Gray",$29.99,http://www.amazon.com/dp/B01M0YQUCE,$29.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01LXE052A,"Chardin home 100% Pure Cotton Splendor Reversible Bath Rug Highly Absorbent and Heavy Duty Bathroom Mat, 24'' W x 60'' L, Sage Green",$29.99,http://www.amazon.com/dp/B01LXE052A,$29.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01M0YAKKZ,"Chardin home 100% Pure Cotton Splendor Reversible Bath Rug Highly Absorbent and Heavy Duty Bathroom Mat, 24'' W x 40'' L, Ivory",$19.99,http://www.amazon.com/dp/B01M0YAKKZ,$19.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01M0YECDA,"Chardin home 100% Pure Cotton Splendor Reversible Bath Rug Highly Absorbent and Heavy Duty Bathroom Mat, 24'' W x 40'' L, White",$19.99,http://www.amazon.com/dp/B01M0YECDA,$19.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01LZNHMDG,"Chardin home 100% Pure Cotton Splendor Reversible Bath Rug Highly Absorbent and Heavy Duty Bathroom Mat, 24'' W x 40'' L, Marine Blue",$19.99,http://www.amazon.com/dp/B01LZNHMDG,$19.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01M0ATH9L,"Chardin home 100% Pure Cotton Splendor Reversible Bath Rug Highly Absorbent and Heavy Duty Bathroom Mat, 24'' W x 40'' L, Platinum Gray",$19.99,http://www.amazon.com/dp/B01M0ATH9L,$19.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.","#981,493 in Home and Kitchen ()#3,203 in  >  >"
Home & Kitchen > Bath > Bath Rugs,B01LZBP4IJ,"Chardin home 100% Pure Cotton Splendor Reversible Bath Rug Highly Absorbent and Heavy Duty Bathroom Mat, 24'' W x 40'' L, Sage Green",$19.99,http://www.amazon.com/dp/B01LZBP4IJ,$19.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
Home & Kitchen > Bath > Bath Rugs,B01LXP1IA7,"Chardin home - 2 Piece Splendor Reversible Bath Rug Set, (17''x24'' / 17''x 24"", Platinum Gray",$17.99,http://www.amazon.com/dp/B01LXP1IA7,$17.99,"Temporarily out of stock.
        
        
    
    

    
    
         
        
        
            Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item.",
